"Species","Attribute"
"Callvulg","MI"
"Empenigr","MI"
"Rhodtome","MI"
"Vaccmyrt","MI"
"Vaccviti","MI"
"Pinusylv","MI"
"Descflex","MI"
"Betupube","MI"
"Vacculig","MI"
"Diphcomp","MI"
"Dicrsp","MI"
"Dicrfusc","MI"
"Dicrpoly","MI"
"Hylosple","MI"
"Pleuschr","PI"
"Polypili","PI"
"Polyjuni","PI"
"Polycomm","PI"
"Pohlnuta","PI"
"Ptilcili","PI"
"Barbhatc","PI"
"Cladarbu","PI"
"Cladrang","PI"
"Cladstel","PI"
"Cladunci","PI"
"Cladcocc","PI"
"Cladcorn","PI"
"Cladgrac","PI"
"Cladfimb","PI"
"Cladcris","PI"
"Cladchlo","PI"
"Cladbotr","PI"
"Cladamau","PI"
"Cladsp","PI"
"Cetreric","PI"
"Cetrisla","PI"
"Flavniva","PI"
"Nepharct","PI"
"Stersp","PI"
"Peltapht","PI"
"Icmaeric","PI"
"Cladcerv","PI"
"Claddefo","PI"
"Cladphyl","PI"
"spec1","MI"
"spec2","PI"
