"sample_ID","site","species","TOT","inf_status"
382870,"site_3","Species_C",5,"negative"
382872,"site_2","Species_B",1,"negative"
487405,"site_3","Species_A",4,"positive"
487405,"site_3","Species_A",1,"positive"
382899,"site_1","Species_A",1,"positive"
382900,"site_2","Species_A",1,"positive"
382901,"site_3","Species_A",1,"positive"
382902,"site_2","Species_A",5,"negative"
382903,"site_1","Species_B",1,"negative"
382904,"site_2","Species_C",9,"negative"
382905,"site_3","Species_A",13,"negative"
382906,"site_3","Species_B",1,"negative"
382907,"site_1","Species_A",1,"negative"
382908,"site_1","Species_C",1,"negative"
