"part_id","color","pname","supplier_key","cost","sname"
"P1","yellow","PN1","S1",2,"SN1"
"P1","yellow","PN1","S4",3,"SN4"
"P1","yellow","PN1","S5",4,"SN5"
"P2","green","PN2","S1",1,"SN1"
"P2","green","PN2","S2",2,"SN2"
"P2","green","PN2","S3",2,"SN3"
"P2","green","PN2","S4",4,"SN4"
"P2","green","PN2","S6",4,"SN6"
"P3","red","PN3","S1",3,"SN1"
"P3","red","PN3","S4",6,"SN4"
"P3","red","PN3","S5",5,"SN5"
"P4","green","PN4","S2",3,"SN2"
"P5","yellow","PN5","S2",1,"SN2"
"P5","yellow","PN5","S4",2,"SN4"
"P5","yellow","PN5","S5",1,"SN5"
"P6","red","PN6","S2",2,"SN2"
"P6","red","PN6","S3",4,"SN3"
"P6","red","PN6","S5",2,"SN5"
