"ID_key","Room","ID_key_student"
"C1","R102","S1"
"C1","R102","S2"
"C1","R102","S4"
"C1","R102","S6"
"C1","R102","S8"
"C2","R120","S1"
"C2","R120","S3"
"C2","R120","S7"
"C3","R128","S2"
"C3","R128","S7"
"C4","R127","S2"
"C4","R127","S3"
"C5","R131","S4"
"C5","R131","S5"
"C5","R131","S6"
"C5","R131","S7"
"C5","R131","S9"
"C5","R131","S10"
"C6","R128","S10"
"C7","R130","S9"
"C8","R130","S8"
"C9","R128","S8"
"C10","R102","S10"
"C11","R120","S1"
"C11","R120","S2"
"C11","R120","S3"
"C11","R120","S4"
"C11","R120","S5"
"C12","R131","S7"
"C12","R131","S8"
"C13","R127","S7"
"C13","R127","S1"
"C13","R127","S2"
"C13","R127","S4"
"C14","R131","S9"
"C14","R131","S10"
"C14","R131","S5"
"C14","R131","S6"
