"C_name","F_key","S_key","F_name"
"class1","f1","S1","faculty1"
"class1","f1","S2","faculty1"
"class1","f1","S4","faculty1"
"class1","f1","S7","faculty1"
"class2","f2","S1","faculty2"
"class2","f2","S3","faculty2"
"class2","f2","S4","faculty2"
"class2","f2","S8","faculty2"
"class3","f2","S1","faculty2"
"class3","f2","S5","faculty2"
"class3","f2","S6","faculty2"
"class3","f2","S7","faculty2"
"class3","f2","S8","faculty2"
"class4","f3","S2","faculty3"
"class4","f3","S3","faculty3"
"class4","f3","S4","faculty3"
"class4","f3","S5","faculty3"
"class4","f3","S6","faculty3"
"class4","f3","S8","faculty3"
"class5","f3","S3","faculty3"
"class5","f3","S4","faculty3"
"class5","f3","S7","faculty3"
"class5","f3","S8","faculty3"
"class6","f3","S5","faculty3"
"class6","f3","S7","faculty3"
"class6","f3","S8","faculty3"
"class7","f4","S2","faculty4"
"class7","f4","S5","faculty4"
"class8","f4","S8","faculty4"
"class9","f1","S6","faculty1"
