"ID_key","fname","ID_class","room"
"F1","teach1","C1","R101"
"F1","teach1","C2","R128"
"F1","teach1","C3","R103"
"F2","teach2","C4","R103"
"F2","teach2","C7","R101"
"F3","teach3","C5","R101"
"F4","teach4","C6","R128"
"F4","teach4","C16","R128"
"F5","teach5","C9","R128"
"F5","teach5","C17","R128"
"F5","teach5","C18","R128"
"F6","teach6","C10","R102"
"F7","teach7","C11","R128"
"F7","teach7","C12","R103"
"F8","teach8","C13","R102"
"F8","teach8","C14","R128"
"F8","teach8","C15","R128"
"F9","teach9","C19","R128"
